id,genus
2783,0.5
2175,0.5
4517,0.5
2831,0.5
3556,0.5
3111,0.5
3113,0.5
3962,0.5
1664,0.5
2443,0.5
3491,0.5
2390,0.5
2532,0.5
1407,0.5
273,0.5
1411,0.5
4717,0.5
585,0.5
4583,0.5
4862,0.5
4226,0.5
4008,0.5
3233,0.5
3946,0.5
2777,0.5
3598,0.5
1943,0.5
1513,0.5
2345,0.5
2001,0.5
4506,0.5
2308,0.5
4502,0.5
2997,0.5
1791,0.5
2875,0.5
1282,0.5
4479,0.5
3454,0.5
1388,0.5
4009,0.5
4158,0.5
4229,0.5
3143,0.5
2606,0.5
3164,0.5
1880,0.5
4237,0.5
3238,0.5
3614,0.5
259,0.5
2913,0.5
552,0.5
4302,0.5
734,0.5
3290,0.5
2477,0.5
2973,0.5
203,0.5
521,0.5
3698,0.5
4680,0.5
4558,0.5
3325,0.5
4677,0.5
4756,0.5
1263,0.5
1058,0.5
3890,0.5
4028,0.5
2642,0.5
3473,0.5
3232,0.5
2836,0.5
1696,0.5
238,0.5
2344,0.5
3701,0.5
846,0.5
2717,0.5
4042,0.5
3921,0.5
2057,0.5
1271,0.5
2841,0.5
430,0.5
1660,0.5
212,0.5
2779,0.5
509,0.5
2238,0.5
3498,0.5
2178,0.5
966,0.5
1313,0.5
3181,0.5
4403,0.5
3357,0.5
1324,0.5
3411,0.5
4063,0.5
2967,0.5
2204,0.5
2931,0.5
287,0.5
1107,0.5
145,0.5
1042,0.5
2799,0.5
3898,0.5
39,0.5
1077,0.5
2146,0.5
4103,0.5
184,0.5
1014,0.5
3861,0.5
2557,0.5
2483,0.5
2529,0.5
2350,0.5
2957,0.5
1354,0.5
1740,0.5
1450,0.5
590,0.5
2817,0.5
1325,0.5
3026,0.5
3444,0.5
1258,0.5
3398,0.5
2813,0.5
2691,0.5
4291,0.5
4955,0.5
4715,0.5
1565,0.5
3414,0.5
4442,0.5
88,0.5
4145,0.5
2222,0.5
4038,0.5
1852,0.5
4330,0.5
3513,0.5
95,0.5
3711,0.5
3920,0.5
1242,0.5
3108,0.5
3519,0.5
666,0.5
2364,0.5
986,0.5
2216,0.5
2426,0.5
3781,0.5
